Product Name,Browser Title Text,Brands,Meta Keywords,Meta Description,Product Tags,Rewrite URL Slug,Full Description,Short Description,Product Code,Stock,Min Purchase Quantity,Max Purchase Quantity,Weight,Retail Price,Cost Price,Offer Price,Offer Expiry Date,Local/HTTP/FTP Path to File,Hits,YouTube Code,Vimeo Code,Daily Motion Code,Product Expiry,Date Added
Bungi Jump Solo - Transfers Excluded,Bungi Jump Solo - Transfers Excluded,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Bushtracks Express Dinner run - Zim,Bushtracks Express Dinner run - Zim,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canoe - Overnight and One Day - Zimbabwe,Canoe - Overnight and One Day - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canoe - Two Day and Two Night - Zimbabwe,Canoe - Two Day and Two Night - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canoe - Two Days and One Night - Zimbabwe,Canoe - Two Days and One Night - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canoe - Upper Zambezi - Zimbabwe,Canoe - Upper Zambezi - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canoeing Vic Falls (Zimbabwe),Canoeing Vic Falls (Zimbabwe),,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
"Canopy Tour Combo(A Flying Fox, Zip Line, Gorge Swing & Vic Falls Canopy Tour) ","Canopy Tour Combo(A Flying Fox, Zip Line, Gorge Swing & Vic Falls Canopy Tour) ",,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Canopy Tours Vic Falls,Canopy Tours Vic Falls,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Chinotimba Tour,Chinotimba Tour,,,,,,,,,1,0,0,0,66,0,,0000-00-00,,0,,,,0000-00-00,28/09/2018
City Historical Buildings Tour ,City Historical Buildings Tour ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Combo - Rafting and Riverboard - Zimbabwe,Combo - Rafting and Riverboard - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Concerts ,Concerts ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Concerts ,Concerts ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Conference Packages ,Conference Packages ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Conference Packages ,Conference Packages ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Conference Packages ,Conference Packages ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Cruise - Zambezi Explorer - Sunset Cruise ,Cruise - Zambezi Explorer - Sunset Cruise ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Cruise - Zambezi Explorer - Sunset Cruise Signature Deck,Cruise - Zambezi Explorer - Sunset Cruise Signature Deck,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Cruises Vic Falls (Zimbabwe),Cruises Vic Falls (Zimbabwe),,,,,,Elephant rides into the Zambezi National Park,Elephant rides into the Zambezi National Park,,1,0,0,0,120,80,,0000-00-00,,3,,,,0000-00-00,27/09/2018
Cultural Connection (Home Lunch + Village Tour),Cultural Connection (Home Lunch + Village Tour),,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Day Trip - Chobe Half day Trip - ex Zimbabwe with lunch,Day Trip - Chobe Half day Trip - ex Zimbabwe with lunch,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
"Day Trip - Chobe Half Day Trip - ex Zimbabwe, no lunch","Day Trip - Chobe Half Day Trip - ex Zimbabwe, no lunch",,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Day Trip - Chobe Trip  - Botswana ex Zimbabwe,Day Trip - Chobe Trip  - Botswana ex Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Day Trip - Chobe Trip - ex Kazungula/Imbabala - Zimbabwe,Day Trip - Chobe Trip - ex Kazungula/Imbabala - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Day Trip - Chobe Trip - Tour Leader - ex Zimbabwe,Day Trip - Chobe Trip - Tour Leader - ex Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Day trips Vic Falls (Zimbabwe),Day trips Vic Falls (Zimbabwe),,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Dining - Victoria Falls,Dining - Victoria Falls,"Chobe Activities, Croc Farm, Victoria Falls Activities",Chobe,Chobe,"Chobe, Zimbabwe, Tourist, Leave, Victoria, Falls, Travelling, Through, Zambezi, National, Parkto, Kazungula, Drive, Vehicle, Ready, Cruise, Arranged",,Chobe Day Trip from Zimbabwe is a must do for any tourist in the area. A bus will leave Victoria Falls at 08:00 travelling through the Zambezi National Parkto Kazungula Border. You will be put on a game drive vehicle ready to take you to the Chobe National Park for 3 hours. A boat cruise is arranged for the afternoon.,Chobe Day Trip from Zimbabwe is a must do for any tourist in the area. A bus will leave Victoria Falls at 08:00 travelling through the Zambezi National Parkto Kazungula Border. You will be put on a game drive vehicle ready to take you to the Chobe National Park for 3 hours. A boat cruise is arranged for the afternoon.,1,1,0,0,0,0,0,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Dinner - Dinner Cruise  - Zimbabwe (Transfers Included),Dinner - Dinner Cruise  - Zimbabwe (Transfers Included),,,,"Comfortable, Periodic, Visits, Elephants, Hwange, National",,"[img]http://www.example.com/picture.png[/img]Stay at the most comfortable of all in Hwange.Excellent cuisine, and periodic visits from the Elephants from the Hwange National Park.","Stay at the most comfortable of all in Hwange.Excellent cuisine, and periodic visits from the Elephants from the Hwange National Park.",,1,0,0,0,288,100,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Dinner - Heritage Azambezi River Lodge ,Dinner - Heritage Azambezi River Lodge ,,,,,,,,,1,0,0,0,66,0,,0000-00-00,,0,,,,0000-00-00,28/09/2018
Dinner - Home Hosted,Dinner - Home Hosted,,,,,,,An unforgettable experience that gives you a perfect understanding of local cultures and foods. You will meet and interact with very sociable and welcoming locals displaying all their wares.,,1,0,0,0,22,12,,0000-00-00,,0,,,,0000-00-00,28/09/2018
Dinner - Lookout Cafe Ala Carte - Transfers Excluded ,Dinner - Lookout Cafe Ala Carte - Transfers Excluded ,"Chobe Activities, Croc Farm, Victoria Falls Activities",Chobe,Chobe,"Chobe, Zimbabwe, Tourist, Leave, Victoria, Falls, Travelling, Through, Zambezi, National, Parkto, Kazungula, Drive, Vehicle, Ready, Cruise, Arranged",,Chobe Day Trip from Zimbabwe is a must do for any tourist in the area. A bus will leave Victoria Falls at 08:00 travelling through the Zambezi National Parkto Kazungula Border. You will be put on a game drive vehicle ready to take you to the Chobe National Park for 3 hours. A boat cruise is arranged for the afternoon.,Chobe Day Trip from Zimbabwe is a must do for any tourist in the area. A bus will leave Victoria Falls at 08:00 travelling through the Zambezi National Parkto Kazungula Border. You will be put on a game drive vehicle ready to take you to the Chobe National Park for 3 hours. A boat cruise is arranged for the afternoon.,1,1,0,0,0,0,0,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Dinner - Lookout Cafe Ala Carte - Transfers Included ,Dinner - Lookout Cafe Ala Carte - Transfers Included ,,,,,,,Majextic Victoria Falls Cruise for the perfect holiday,,1,0,0,0,88,45,,0000-00-00,,0,,,,0000-00-00,28/09/2018
Elephant Art Safari & Lunch,Elephant Art Safari & Lunch,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Elephant Encounter - Walk with Giants - AM/Mid Morning/PM - Zimbabwe,Elephant Encounter - Walk with Giants - AM/Mid Morning/PM - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Elephant Interation and Lunch (GROUPS ONLY) - Zimbabwe,Elephant Interation and Lunch (GROUPS ONLY) - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Events ,Events ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Exhibitions ,Exhibitions ,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Face Towels - One per person - Zimbabwe,Face Towels - One per person - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Fishing - Fishing Safari (3 Hours)- Zimbabwe,Fishing - Fishing Safari (3 Hours)- Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Flying Fox - Zimbabwe,Flying Fox - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
Foreign Language Guide per day - French - Zimbabwe,Foreign Language Guide per day - French - Zimbabwe,,Chobe,Chobe,"Drive, Chobe, National, Activity, Takes, Hours, Entertained, Herds, Elephants, Occasionaly, Lions",,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc.,Game Drive Into Chobe National Park. This activity takes 3 hours and you will be entertained to huge herds of elephants on the Chobe Park. Occasionaly you can see lions etc,,1,0,0,0,72,42,,0000-00-00,,0,,,,0000-00-00,27/09/2018
